respon,DH_appr,age,PID5,female,followbaseball
829,,62,2,"Male",0
830,,38,1,"Male",1
831,,45,5,"Male",0
832,,30,1,"Male",0
833,,68,5,"Female",0
834,0,25,2,"Male",1
835,,34,3,"Male",0
836,,28,1,"Female",0
837,1,46,5,"Male",1
838,,33,1,"Male",1
839,1,31,3,"Male",1
840,,23,1,"Female",0
841,0,37,3,"Male",1
842,,62,5,"Male",0
843,,59,1,"Female",0
844,,25,4,"Male",0
845,,63,3,"Female",0
846,,35,2,"Male",1
847,,26,2,"Male",0
848,,38,5,"Female",0
849,,42,1,"Male",0
850,,43,2,"Male",0
851,,35,,"Female",1
852,,54,3,"Female",0
853,,56,5,"Male",0
854,,35,4,"Male",0
855,,49,3,"Male",0
856,1,54,5,"Female",1
857,,24,1,"Male",0
858,,30,5,"Female",0
859,1,29,5,"Male",1
860,1,32,5,"Female",1
861,1,,5,"Female",1
862,,38,5,"Male",0
863,1,31,1,"Male",1
864,,38,5,"Female",0
865,,63,5,"Female",0
866,,19,1,"Female",0
867,0,45,5,"Male",1
868,,43,1,"Male",0
869,1,24,3,"Male",1
870,,56,1,"Male",0
871,,57,5,"Male",0
872,,27,5,"Male",0
873,,22,1,"Female",0
874,,59,1,"Female",0
875,,51,1,"Female",0
876,1,35,5,"Female",1
877,1,41,1,"Male",1
878,,75,5,"Female",0
879,1,52,5,"Female",1
880,,34,5,"Male",0
881,1,47,5,"Male",1
882,,50,5,"Female",1
883,,42,5,"Female",0
884,1,25,1,"Female",1
885,,68,2,"Male",0
886,,71,1,"Female",0
887,,37,1,"Female",0
888,1,54,5,"Female",1
889,,55,5,"Female",0
890,,54,1,"Male",0
891,0,59,4,"Male",1
892,,43,5,"Female",0
893,0,44,,"Female",1
894,,43,5,"Male",0
895,1,18,5,"Male",1
896,,25,1,"Male",0
897,,28,5,"Female",0
898,,19,,"Male",0
899,0,18,4,"Male",1
900,,56,,"Male",0
901,1,27,1,"Male",1
902,0,33,1,"Male",1
903,,76,,"Female",0
904,,47,5,"Male",0
905,,54,1,"Female",0
906,,75,1,"Female",1
907,,32,5,"Female",0
908,,50,3,"Male",0
909,0,23,5,"Male",1
910,,24,5,"Female",0
911,,20,1,"Female",0
912,,64,1,"Female",0
913,,27,4,"Female",0
914,1,35,2,"Male",1
915,1,35,5,"Male",1
916,0,43,4,"Female",1
917,1,32,1,"Male",1
918,,56,1,"Female",0
919,,30,1,"Male",0
920,1,50,3,"Female",1
921,1,42,2,"Male",1
922,,77,5,"Male",0
923,,37,4,"Female",0
924,1,43,1,"Female",1
925,0,20,3,"Male",1
926,,56,5,"Male",0
927,1,46,1,"Female",1
928,1,59,4,"Female",1
929,,26,2,"Male",0
930,,34,1,"Female",0
931,1,46,5,"Female",1
932,,30,5,"Female",0
933,1,54,1,"Female",1
934,,61,3,"Female",0
935,1,51,5,"Female",1
936,,20,4,"Male",0
937,,33,4,"Male",1
938,,65,5,"Female",0
939,1,24,1,"Male",1
940,1,71,1,"Male",1
941,1,32,5,"Female",1
942,,51,3,"Male",0
943,,44,4,"Male",0
944,,56,3,"Female",
945,,36,,"Female",1
946,0,76,5,"Male",1
947,0,64,1,"Male",1
948,1,27,1,"Male",1
949,,56,2,"Female",0
950,0,90,1,"Male",1
951,,41,2,"Female",0
